id,first_name,second_name,web_name,team,element_type,now_cost,selected_by_percent,transfers_in,transfers_out,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,value_form,value_season,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_name,position,price,is_corner_taker,is_freekick_taker,is_penalty_taker,is_set_piece_taker
34,Pau,Torres,Pau,2,2,45,0.4,5769,8521,2,1.0,163,0,0,0,5,0,0,0,0,-8,11.0,1.5,0.0,1.2,1.0,0.2,0.4,,,,Aston Villa,DEF,4.5,0,0,0,0
35,Lamare,Bogarde,Bogarde,2,3,50,0.1,1460,2063,1,1.0,16,0,0,0,0,0,0,0,0,3,2.2,0.5,0.0,0.3,0.5,0.1,0.2,,,,Aston Villa,MID,5.0,0,0,0,0
36,Ian,Maatsen,Maatsen,2,2,45,0.8,10745,15718,1,0.5,171,0,0,0,5,1,0,0,0,-14,14.0,1.3,15.0,3.0,0.5,0.1,0.2,,,,Aston Villa,DEF,4.5,0,0,0,0
37,Victor,Lindelöf,Lindelöf,2,2,45,0.3,4373,6491,0,0.0,180,0,0,0,5,0,0,0,0,-3,16.8,1.3,0.0,1.8,0.0,0.0,0.0,,,,Aston Villa,DEF,4.5,0,0,0,0
38,Andrés,García,A.García,2,2,40,1.8,20797,27934,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,DEF,4.0,0,0,0,0
39,Kosta,Nedeljkovic,Nedeljkovic,2,2,40,0.2,0,10649,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,DEF,4.0,0,0,0,0
41,Emiliano,Buendía Stati,Buendía,2,3,60,1.2,18762,40810,4,2.0,175,0,0,0,5,0,0,0,0,13,5.0,29.5,17.0,4.9,2.0,0.3,0.7,3.0,1.0,1.0,Aston Villa,MID,6.0,0,1,1,1
44,Leon,Bailey,Bailey,2,3,54,0.1,2042,5434,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,MID,5.4,0,0,0,0
45,John,McGinn,McGinn,2,3,54,2.5,20227,80675,2,1.0,171,0,0,0,5,2,0,0,0,10,1.6,14.4,11.0,2.2,1.0,0.2,0.4,2.0,,,Aston Villa,MID,5.4,0,0,0,0
46,Ross,Barkley,Barkley,2,3,50,0.3,6346,6000,4,2.0,150,0,0,0,5,0,0,0,0,34,22.2,44.7,9.0,7.6,2.0,0.4,0.8,4.0,,,Aston Villa,MID,5.0,0,0,0,0
47,Boubacar,Kamara,Kamara,2,3,50,0.3,6752,9593,4,2.0,180,0,0,0,5,0,0,0,0,22,21.8,17.0,0.0,3.9,2.0,0.4,0.8,,,,Aston Villa,MID,5.0,0,0,0,0
48,Amadou,Onana,Onana,2,3,50,0.0,284,1030,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,MID,5.0,0,0,0,0
49,Samuel,Iling-Junior,Iling Jr,2,3,50,0.0,0,180,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,MID,5.0,0,0,0,0
50,Bradley,Burrowes,Burrowes,2,3,45,0.7,10855,14489,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,MID,4.5,0,0,0,0
51,George,Hemmings,George Hemmings,2,3,45,1.0,36920,16828,4,2.0,160,0,0,0,5,0,0,0,0,17,12.4,15.9,2.0,3.0,2.0,0.4,0.9,,,,Aston Villa,MID,4.5,0,0,0,0
52,Alysson Edward Franco,da Rocha dos Santos,Alysson,2,3,50,0.0,1033,1369,1,0.5,27,0,0,0,0,1,0,0,0,7,5.2,0.8,2.0,0.8,0.5,0.1,0.2,,,,Aston Villa,MID,5.0,0,0,0,0
53,Johan,Manzambi,Manzambi,2,3,59,0.1,523,13313,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,MID,5.9,0,0,0,0
54,Joao,Gomes,Gomes,2,3,55,0.0,229,2901,-2,-2.0,39,0,0,0,4,0,1,0,0,-2,1.0,11.0,0.0,1.2,-1.0,-0.2,-0.4,,,,Aston Villa,MID,5.5,0,0,0,0
55,Ollie,Watkins,Watkins,2,4,78,4.8,14882,525483,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,Aston Villa,FWD,7.8,0,0,0,0
56,Tammy,Abraham,Abraham,2,4,55,0.1,4190,4977,1,1.0,19,0,0,0,0,0,0,0,0,3,0.0,1.3,0.0,0.1,0.5,0.1,0.2,,,,Aston Villa,FWD,5.5,0,0,0,0
160,Alejandro,Garnacho Ferreyra,Garnacho,2,3,59,0.5,4199,20594,2,1.0,16,0,0,0,0,0,0,0,0,5,0.2,2.0,0.0,0.2,1.0,0.2,0.3,,,,Aston Villa,MID,5.9,0,0,0,0
166,Nicolas,Jackson,N.Jackson,2,4,65,0.9,62781,19913,2,2.0,70,0,0,0,1,0,0,0,0,11,4.2,5.9,2.0,1.2,1.0,0.2,0.3,,,,Aston Villa,FWD,6.5,0,0,0,0
582,Brian,Madjo,Madjo,2,4,55,0.3,1955,16637,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,FWD,5.5,0,0,0,0
596,Matteo,Ruggeri,Ruggeri,2,2,45,0.1,1512,2489,1,1.0,8,0,0,0,0,0,0,0,0,3,4.0,0.0,0.0,0.4,0.5,0.1,0.2,,,,Aston Villa,DEF,4.5,0,0,0,0
597,Zion,Suzuki,Suzuki,2,1,50,1.2,29208,15632,2,2.0,90,0,0,0,1,0,0,1,0,8,13.6,0.0,0.0,1.4,1.0,0.2,0.4,,,,Aston Villa,GK,5.0,0,0,0,0
606,Triston,Rowe,Rowe,2,2,40,0.2,7209,1708,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,DEF,4.0,0,0,0,0
607,Luka,Lynch,Lynch,2,3,45,0.1,6897,2733,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,MID,4.5,0,0,0,0
611,Aaron,Wan-Bissaka,Wan-Bissaka,2,2,45,0.1,7228,1535,1,1.0,12,0,0,0,0,0,0,0,0,4,3.6,0.8,0.0,0.4,1.0,0.2,0.2,,,,Aston Villa,DEF,4.5,0,0,0,0
618,Leon,Goretzka,Goretzka,2,3,60,0.0,3199,721,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,MID,6.0,0,0,0,0
630,Taylor,Harwood-Bellis,Harwood-Bellis,2,2,45,0.0,588,77,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,DEF,4.5,0,0,0,0
631,Ibrahim,Mbaye,Mbaye,2,3,60,0.0,2477,337,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Aston Villa,MID,6.0,0,0,0,0
57,Đorđe,Petrović,Petrović,3,1,45,3.4,62387,41644,5,2.5,180,0,0,0,3,0,0,9,0,33,70.6,0.0,0.0,7.1,2.5,0.6,1.1,,,,Bournemouth,GK,4.5,0,0,0,0
58,Fraser,Forster,Forster,3,1,40,3.4,39246,27444,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,GK,4.0,0,0,0,0
59,Will,Dennis,Dennis,3,1,40,0.2,1133,3960,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,GK,4.0,0,0,0,0
60,James,Hill,Hill,3,2,55,0.9,14903,15960,5,2.5,180,0,0,0,3,0,0,0,0,19,37.2,21.3,4.0,6.3,2.5,0.5,0.9,,,,Bournemouth,DEF,5.5,0,0,0,0
61,Adrien,Truffert,Truffert,3,2,55,3.8,30502,58941,5,2.5,180,0,0,0,3,0,0,0,2,27,43.2,25.0,4.0,7.3,2.5,0.5,0.9,,,,Bournemouth,DEF,5.5,0,0,0,0
62,Bafodé,Diakité,Diakité,3,2,50,0.2,4242,5745,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,DEF,5.0,0,0,0,0
63,Veljko,Milosavljevic,Milosavljević,3,2,50,0.0,147,506,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,DEF,5.0,0,0,0,0
64,Adam,Smith,Smith,3,2,45,0.1,4217,2693,2,1.0,180,0,0,0,3,1,0,0,0,9,22.6,16.3,0.0,3.9,1.0,0.2,0.4,,,,Bournemouth,DEF,4.5,0,0,0,0
65,Julián,Araujo Zúñiga,J.Araujo,3,2,45,0.0,166,829,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,DEF,4.5,0,0,0,0
66,Julio,Soler Barreto,Soler,3,2,40,0.3,5362,4423,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,DEF,4.0,0,0,0,0
67,Rayan Vitor,Simplício Rocha,Rayan,3,3,65,2.3,33198,71064,4,2.0,178,0,0,0,2,0,0,0,0,13,14.8,14.8,61.0,9.1,2.0,0.3,0.6,,,,Bournemouth,MID,6.5,0,0,0,0
68,Marcus,Tavernier,Tavernier,3,3,60,2.3,109908,51514,11,5.5,180,1,0,0,3,1,0,0,3,52,55.0,55.5,29.0,13.9,5.5,0.9,1.8,1.0,1.0,3.0,Bournemouth,MID,6.0,1,1,0,1
69,Alex,Scott,Scott,3,3,60,1.9,55598,27495,14,7.0,176,1,0,1,2,1,0,0,3,56,59.0,36.9,21.0,11.7,7.0,1.2,2.3,2.0,4.0,,Bournemouth,MID,6.0,0,0,0,0
70,Justin,Kluivert,Kluivert,3,3,60,1.1,24899,28514,6,3.0,154,0,0,2,0,0,0,0,0,27,22.2,41.2,74.0,13.7,3.0,0.5,1.0,3.0,2.0,2.0,Bournemouth,MID,6.0,0,0,0,0
71,Lewis,Cook,Cook,3,3,50,0.2,8806,4882,6,3.0,143,0,0,2,0,0,0,0,0,21,8.4,14.9,0.0,2.4,3.0,0.6,1.2,5.0,,,Bournemouth,MID,5.0,0,0,0,0
72,Ben,Gannon-Doak,Gannon-Doak,3,3,50,0.1,697,2128,1,1.0,1,0,0,0,1,0,0,0,0,3,0.2,0.1,2.0,0.2,0.5,0.1,0.2,,,,Bournemouth,MID,5.0,0,0,0,0
73,Tyler,Adams,Adams,3,3,50,0.2,7824,6960,2,1.0,36,0,0,0,3,0,0,0,0,8,5.2,1.9,0.0,0.7,1.0,0.2,0.4,,,,Bournemouth,MID,5.0,0,0,0,0
74,David,Brooks,Brooks,3,3,50,0.1,1653,1530,1,1.0,9,0,0,0,1,0,0,0,0,3,0.0,1.6,0.0,0.1,0.5,0.1,0.2,4.0,3.0,,Bournemouth,MID,5.0,0,0,0,0
75,Ryan,Christie,Christie,3,3,50,0.0,1423,622,1,1.0,3,0,0,0,1,0,0,0,0,5,2.8,0.3,0.0,0.3,0.5,0.1,0.2,6.0,,,Bournemouth,MID,5.0,0,0,0,0
76,Alex,Tóth,Tóth.A,3,3,50,0.0,195,340,1,1.0,15,0,0,0,2,0,0,0,0,5,2.8,0.6,0.0,0.3,0.5,0.1,0.2,,,,Bournemouth,MID,5.0,0,0,0,0
77,Amine,Adli,Adli,3,3,49,0.0,174,1535,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,MID,4.9,0,0,0,0
78,Junior,Kroupi,Kroupi.Jr,3,3,74,0.2,687,20427,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,Bournemouth,MID,7.4,0,0,1,1
79,Francisco Evanilson,de Lima Barbosa,Evanilson,3,4,60,3.2,130955,53570,9,4.5,154,0,2,2,0,1,0,0,0,28,34.4,34.1,24.0,9.2,4.5,0.8,1.5,,,,Bournemouth,FWD,6.0,0,0,0,0
80,Enes,Ünal,Enes Ünal,3,4,55,0.0,0,1530,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,FWD,5.5,0,0,0,0
81,Álvaro,Rodríguez,Rodríguez,3,4,60,0.1,2263,2833,1,1.0,9,0,0,0,1,0,0,0,0,4,0.0,0.0,0.0,0.0,0.5,0.1,0.2,,,,Bournemouth,FWD,6.0,0,0,0,0
566,António João,Pereira de Albuquerque Tavares da Silva,Silva,3,2,50,0.4,15627,7287,6,3.0,180,0,0,0,3,1,0,0,0,16,50.0,2.1,13.0,6.5,3.0,0.6,1.2,,,,Bournemouth,DEF,5.0,0,0,0,0
573,Juanlu,Sánchez,Sanchez,3,2,45,0.2,771,3364,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,DEF,4.5,0,0,0,0
608,Daniel,Jebbison,Jebbison,3,4,50,0.1,6350,2129,1,1.0,15,0,0,0,2,0,0,0,0,6,3.4,0.8,17.0,2.1,0.5,0.1,0.2,,,,Bournemouth,FWD,5.0,0,0,0,0
615,Michele,Di Gregorio,Di Gregorio,3,1,45,0.0,1456,417,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Bournemouth,GK,4.5,0,0,0,0
82,Caoimhín,Kelleher,Kelleher,4,1,50,7.5,161176,66943,9,4.5,180,0,0,1,1,0,0,5,0,41,40.8,0.0,0.0,4.0,4.5,0.9,1.8,,,,Brentford,GK,5.0,0,0,0,0
83,Hákon Rafn,Valdimarsson,Valdimarsson,4,1,45,0.1,1419,2013,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Brentford,GK,4.5,0,0,0,0
84,Nathan,Collins,Collins,4,2,55,2.3,47459,26002,9,4.5,180,0,0,1,1,1,0,0,0,35,39.6,22.4,51.0,11.3,4.5,0.8,1.6,,,,Brentford,DEF,5.5,0,0,0,0
85,Sepp,van den Berg,Van den Berg,4,2,49,0.1,251,6309,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Brentford,DEF,4.9,0,0,0,0
86,Keane,Lewis-Potter,Lewis-Potter,4,3,55,2.0,129678,27285,16,8.0,177,1,1,1,1,0,0,0,3,66,85.6,47.5,21.0,15.4,8.0,1.5,2.9,,1.0,,Brentford,MID,5.5,0,1,0,1
87,Kristoffer,Ajer,Ajer,4,2,45,5.2,187672,59944,11,5.5,180,0,0,1,1,1,0,0,0,36,57.8,21.9,37.0,11.7,5.5,1.2,2.4,,,,Brentford,DEF,4.5,0,0,0,0
88,Michael,Kayode,Kayode,4,2,46,9.5,468191,86433,15,7.5,162,1,0,1,1,0,0,0,1,45,48.2,17.5,54.0,11.9,7.5,1.6,3.3,,,,Brentford,DEF,4.6,0,0,0,0
89,Rico,Henry,Henry,4,2,45,0.2,1026,3914,1,1.0,2,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.5,0.1,0.2,,,,Brentford,DEF,4.5,0,0,0,0
90,Aaron,Hickey,Hickey,4,2,45,0.1,1177,1281,2,1.0,16,0,0,0,0,0,0,0,0,8,4.0,4.4,0.0,0.8,1.0,0.2,0.4,,,,Brentford,DEF,4.5,0,0,0,0
92,Kim,Ji-soo,Ji-soo,4,2,45,0.0,237,442,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Brentford,DEF,4.5,0,0,0,0
93,Jannik,Schuster,Schuster,4,2,45,0.2,276,2369,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Brentford,DEF,4.5,0,0,0,0
94,Kevin,Schade,Schade,4,3,60,4.2,117737,62551,13,6.5,177,1,0,1,1,0,0,0,3,51,60.0,22.9,93.0,17.6,6.5,1.1,2.2,,,2.0,Brentford,MID,6.0,0,0,0,0
95,Dango,Ouattara,O.Dango,4,3,65,0.9,10797,33324,4,2.0,95,0,0,1,1,0,0,0,0,22,16.4,46.3,17.0,8.0,2.0,0.3,0.6,2.0,,,Brentford,MID,6.5,0,0,0,0
96,Mikkel,Damsgaard,Damsgaard,4,3,55,0.5,5247,13624,4,2.0,82,0,0,1,0,0,0,0,0,26,24.2,58.7,25.0,10.8,2.0,0.4,0.7,3.0,3.0,,Brentford,MID,5.5,0,0,0,0
97,Mathias,Jensen,Jensen,4,3,55,0.2,4415,6612,6,6.0,66,0,1,1,0,0,0,0,0,22,12.6,46.2,13.0,7.2,3.0,0.5,1.1,1.0,2.0,3.0,Brentford,MID,5.5,1,0,0,1
98,Vitaly,Janelt,Janelt,4,3,50,0.6,58270,15460,10,5.0,180,1,0,1,1,2,0,0,0,46,69.6,74.2,28.0,17.2,5.0,1.0,2.0,4.0,,,Brentford,MID,5.0,0,0,0,0
99,Antoni,Milambo,Milambo,4,3,50,0.0,54,75,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Brentford,MID,5.0,0,0,0,0
100,Fábio,Freitas Gouveia Carvalho,Carvalho,4,3,50,0.0,615,552,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Brentford,MID,5.0,0,0,0,0
102,Yehor,Yarmoliuk,Yarmoliuk,4,3,49,0.9,1464,28450,2,1.0,44,0,0,0,1,0,0,0,0,11,5.2,13.3,7.0,2.6,1.0,0.2,0.4,,,,Brentford,MID,4.9,0,0,0,0
103,Josh,Dasilva,Dasilva,4,3,50,0.0,321,767,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Brentford,MID,5.0,0,0,0,0
105,Jaidon,Anthony,Anthony,4,3,60,0.2,3317,5143,3,1.5,83,0,0,1,0,1,0,0,0,13,13.8,60.8,16.0,9.1,1.5,0.2,0.5,,,,Brentford,MID,6.0,0,0,0,0
106,Igor Thiago,Nascimento Rodrigues,Thiago,4,4,80,14.3,143680,393574,2,1.0,172,0,0,1,1,0,0,0,0,-1,4.6,10.2,63.0,7.8,1.0,0.1,0.2,,,1.0,Brentford,FWD,8.0,0,0,1,1
107,Kaye,Furo,Furo,4,4,45,1.1,30628,19896,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Brentford,FWD,4.5,0,0,0,0
108,Callum,Wilson,Wilson,4,4,55,0.4,8955,10932,2,1.0,9,0,0,0,0,0,0,0,0,7,2.2,10.4,12.0,2.5,1.0,0.2,0.4,,,,Brentford,FWD,5.5,0,0,0,0
565,Mamadou,Sangaré,M.Sangaré,4,3,57,14.1,915785,122350,18,9.0,165,0,2,1,1,0,0,0,3,57,56.0,47.1,32.0,13.5,9.0,1.6,3.2,,,,Brentford,MID,5.7,0,0,0,0
